Locations,Lat,Lng,Years,Total
ARCH ROCK,37.686246,-119.730925,2017,562150
ARCH ROCK,37.686246,-119.730925,2016,494331
ARCH ROCK,37.686246,-119.730925,2015,424316
ARCH ROCK,37.686246,-119.730925,2014,399544
ARCH ROCK,37.686246,-119.730925,2013,389005
ARCH ROCK,37.686246,-119.730925,2012,391468
ARCH ROCK,37.686246,-119.730925,2011,422988
BADGER PASS,37.662505,-119.663344,2017,220357
BADGER PASS,37.662505,-119.663344,2016,269724
BADGER PASS,37.662505,-119.663344,2015,230775
BADGER PASS,37.662505,-119.663344,2014,237275
BADGER PASS,37.662505,-119.663344,2013,252828
BADGER PASS,37.662505,-119.663344,2012,217642
BADGER PASS,37.662505,-119.663344,2011,205294
BIG OAK FLAT,37.80118,-119.874603,2017,412740
BIG OAK FLAT,37.80118,-119.874603,2016,546804
BIG OAK FLAT,37.80118,-119.874603,2015,408943
BIG OAK FLAT,37.80118,-119.874603,2014,344345
BIG OAK FLAT,37.80118,-119.874603,2013,318088
BIG OAK FLAT,37.80118,-119.874603,2012,354446
BIG OAK FLAT,37.80118,-119.874603,2011,395178
BIG TREE,37.537158,-119.654889,2017,0
BIG TREE,37.537158,-119.654889,2016,0
BIG TREE,37.537158,-119.654889,2015,131750
BIG TREE,37.537158,-119.654889,2014,185700
BIG TREE,37.537158,-119.654889,2013,185700
BIG TREE,37.537158,-119.654889,2012,193627
BIG TREE,37.537158,-119.654889,2011,165051
HETCH HETCHY,37.895952,-119.84136,2017,23974
HETCH HETCHY,37.895952,-119.84136,2016,28099
HETCH HETCHY,37.895952,-119.84136,2015,21070
HETCH HETCHY,37.895952,-119.84136,2014,22172
"HETCH HETCHY	37.895952	-119.84136",,,2013,16554
HETCH HETCHY,37.895952,-119.84136,2012,19507
HETCH HETCHY,37.895952,-119.84136,2011,28892
SOUTH ENTRANCE,37.507197,-119.632044,2017,488373
SOUTH ENTRANCE,37.507197,-119.632044,2016,575399
SOUTH ENTRANCE,37.507197,-119.632044,2015,497056
SOUTH ENTRANCE,37.507197,-119.632044,2014,479824
SOUTH ENTRANCE,37.507197,-119.632044,2013,450725
SOUTH ENTRANCE,37.507197,-119.632044,2012,446456
SOUTH ENTRANCE,37.507197,-119.632044,2011,445426
TIOGA PASS,37.910982,-119.257972,2017,181377
TIOGA PASS,37.910982,-119.257972,2016,264245
TIOGA PASS,37.910982,-119.257972,2015,204882
TIOGA PASS,37.910982,-119.257972,2014,218950
TIOGA PASS,37.910982,-119.257972,2013,207250
TIOGA PASS,37.910982,-119.257972,2012,227150
TIOGA PASS,37.910982,-119.257972,2011,201150